rplA
rplB
rplC
rplD
rplE
rplF
rplI
rplJ
rplK
rplL
rplM
rplN
rplO
rplP
rplQ
rplR
rplS
rplT
rplU
rplV
rplX
rplY
rpmA
rpmB
rpmC
rpmD
rpmE
rpsA
rpsB
rpsC
rpsD
rpsE
rpsF
rpsG
rpsH
rpsI
rpsJ
rpsK
rpsL
rpsM
rpsO
rpsP
rpsR
rpsS
rpsT
rpsU
rpmF
rpmG
rpmH
rpmI
rpsQ
