GenProtEC: MultiFun assignments for E. coli modules
August 28th, 2007

Bnum	MultiFun class
b0676	2.2.2
b0676	3.1.2.2
b0676	3.1.2.3
b0676	3.1.3.1
b0676	3.3.1
b0676	7.1
b0677	1.7.12
b0678	1.7.12
b0679_1	1.1.4
b0679_1	4.4.A.1
b0679_1	4.S.142
b0679_1	6.1
b0679_1	7.3
b0679_2	1.1.4
b0679_2	4.4.A.1
b0679_2	4.S.142
b0679_2	6.1
b0679_2	7.3
b0679_3	1.1.4
b0679_3	4.4.A.1
b0679_3	4.S.142
b0679_3	6.1
b0679_3	7.3
b0680	2.3.1
b0680	7.1
b0683	2.2.2
b0683	3.1.2.3
b0683	3.3.1
b0683	7.1
b0684	1.4.1
b0685	5.8
b0687	2.1.1
b0687	2.2.2
b0687	3.1.2.2
b0687	6.1
b0687	7.3
b0688	1.2.4.1
b0688	1.7.9
b0688	7.1
b0692	1.1.4
b0692	1.7.14
b0692	4.2.A.3
b0692	4.S.164
b0692	5.5.1
b0692	6.1
b0692	7.3
b0693	1.1.4.3
b0693	1.7.14
b0694	2.2.2
b0694	3.1.2.2
b0694	3.1.2.4.3
b0694	3.3.1
b0694	7.1
b0695_1	3.1.2.4.3
b0695_1	6.1
b0695_1	7.3
b0695_2	2.3.3
b0695_2	3.1.2.4.3
b0695_2	3.1.3.2
b0695_2	6.1
b0695_2	7.3
b0696	4.3.A.3
b0696	4.S.96
b0696	6.1
b0696	7.3
b0697	4.3.A.3
b0697	4.S.96
b0697	6.1
b0697	7.3
b0698	4.3.A.3
b0698	4.S.96
b0698	6.1
b0698	7.3
b0700	9
b0701	9
b0703	9
b0705	8.3
b0708	1.5.3.9
b0708	2.1.4
b0708	7.1
b0709	1.1.3
b0709	4.2.A.17
b0709	4.S.148
b0709	6.1
b0709	7.3
b0713	1.1.1
b0713	5.6.4
b0714	2.1.4
b0714	7.1
b0715	4.9.B
b0715	6.1
b0715	7.3
b0717	2.3.4
b0717	7.2
b0718	6.1
b0718	7.4
b0719	6.5
b0720	1.3.4
b0720	1.3.7
b0720	1.7.2
b0721	1.3.4
b0721	1.3.6
b0721	1.4.1
b0721	1.4.3
b0721	1.6.15.1
b0721	6.1
b0721	7.3
b0722	1.3.4
b0722	1.3.6
b0722	1.4.1
b0722	6.1
b0722	7.3
b0723	1.3.4
b0723	1.3.6
b0723	1.4.1
b0723	7.1
b0724	1.3.4
b0724	1.3.6
b0724	1.4.1
b0724	7.1
b0726	1.3.4
b0727	1.3.4
b0728	1.3.4
b0729	1.3.4
b0730	1.1.1.26
b0730	1.3.4
b0730	2.2.2
b0730	3.1.2
b0730	3.1.2.3
b0730	5.5.1
b0730	7.1
b0731_1	1.1.1.26
b0731_1	2.3.3
b0731_1	4.4.A.2
b0731_1	4.S.195
b0731_1	5.5.1
b0731_1	5.5.2
b0731_1	6.1
b0731_1	7.3
b0731_2	1.1.1.26
b0731_2	2.3.3
b0731_2	4.4.A.2
b0731_2	4.S.195
b0731_2	5.5.1
b0731_2	5.5.2
b0731_2	6.1
b0731_2	7.3
b0731_3	1.1.1.26
b0731_3	2.3.3
b0731_3	4.4.A.2
b0731_3	4.S.195
b0731_3	5.5.1
b0731_3	5.5.2
b0731_3	6.1
b0731_3	7.3
b0732	1.1.1.26
b0732	5.5.1
b0733	1.3.6
b0733	1.4.2
b0733	6.1
b0733	7.3
b0734	1.3.6
b0734	1.4.2
b0734	6.1
b0734	7.3
b0736	1.6.1
b0737	6.1
b0737	7.3
b0737	8.1
b0737	8.4
b0738	6.1
b0738	7.3
b0738	8.1
b0739	1.6.3.1
b0739	6.1
b0739	7.3
b0739	8.1
b0739	8.4
b0740	4.1.B
b0740	4.S.81
b0740	7.2
b0740	8.1
b0740	8.4
b0741	6.1
b0741	7.3
b0741	8.1
b0742	7.2
b0743	2.2.5
b0743	7.1
b0744	2.2.5
b0744	7.1
b0745	2.2.5
b0745	7.1
b0746	2.2.5
b0746	7.1
b0747	2.2.5
b0747	7.1
b0748	2.2.5
b0748	7.1
b0749	2.2.5
b0749	7.1
b0750	1.5.3.7
b0750	7.1
b0751	1.7.33
b0751	4.9.A.4
b0751	4.S.144
b0751	6.1
b0751	7.3
b0752	4.2.A.4
b0752	6.1
b0752	7.3
b0754	1.5.1.13
b0754	1.5.1.20
b0755	1.3.1
b0755	1.7.8
b0756	1.1.1.23
b0756	1.7.7
b0756	7.2
b0757	1.1.1.23
b0757	1.6.2
b0757	1.7.7
b0757	5.5.5
b0757	6.3
b0757	6.7
b0757	7.1
b0758	1.1.1.23
b0758	1.6.2
b0758	1.7.7
b0758	5.5.5
b0758	6.3
b0758	6.7
b0758	7.1
b0759	1.1.1.23
b0759	1.6.2
b0759	1.7.7
b0759	5.5.5
b0759	6.3
b0759	6.7
b0759	7.1
b0760_1	1.5.3.4
b0760_1	4.3.A.1.a
b0760_1	4.S.125
b0760_1	7.1
b0760_2	1.5.3.4
b0760_2	4.3.A.1.a
b0760_2	4.S.125
b0760_2	7.1
b0761	1.5.3.4
b0761	2.2.2
b0761	3.1.2.3
b0761	3.3.1
b0761	7.1
b0763	1.5.3.4
b0763	4.3.A.1.p
b0763	4.S.124
b0763	7.2
b0764	1.5.3.4
b0764	4.3.A.1.m
b0764	4.S.124
b0764	6.1
b0764	7.3
b0765	1.5.3.4
b0765	4.3.A.1.a
b0765	4.S.124
b0765	7.1
b0767	1.3.2
b0767	1.3.9
b0767	7.1
b0768	2.2.2
b0768	3.1.2.2
b0768	3.1.2.3
b0770	4.2.A.47
b0770	6.1
b0770	7.3
b0772	1
b0774	1.5.3.1
b0775	1.5.3.1
b0776	1.5.3.1
b0777	1.5.3.1
b0778	1.5.3.1
b0779	1.2.2
b0779	2.1.4
b0779	2.1.5
b0779	5.6.1
b0779	5.8
b0779	7.1
b0781	1.5.3.4
b0782	1.5.3.4
b0783	1.5.3.4
b0784	1.5.3.4
b0785	1.5.3.4
b0786	4
b0786	6.1
b0786	7.3
b0787	6.1
b0788	3.1.4
b0788	6.1
b0789	1.6.1
b0790	2.1.5
b0791	6.1
b0791	7.1
b0792	4.3.A.1.m
b0792	6.1
b0792	7.3
b0793	4.3.A.1.m
b0793	6.1
b0793	7.3
b0794_1	4.3.A.1.a
b0794_1	7.1
b0794_2	4.3.A.1.a
b0794_2	7.1
b0795	6.1
b0795	7.4
b0796	2.2.2
b0796	3.1.2.3
b0796	7.1
b0797	2.2.3
b0799	2.1.4
b0799	5.8
b0799	7.1
b0805	5.5.7
b0805	6.1
b0805	7.4
b0808	4.9.B
b0808	6.1
b0809	1.5.1.2
b0809	4.3.A.1.a
b0809	4.S.76
b0809	7.1
b0810	1.5.1.2
b0810	4.3.A.1.m
b0810	4.S.76
b0810	6.1
b0810	7.3
b0811	1.5.1.2
b0811	4.3.A.1.p
b0811	4.S.76
b0811	7.2
b0812	2.3.7
b0812	5.5.3
b0812	7.1
b0813	4.2.A.7
b0813	4.S.180
b0813	4.S.90
b0813	6.1
b0813	7.1
b0814	6.1
b0814	7.4
b0814	8.1
b0815	6.1
b0817	3.1.2
b0817	3.3.1
b0817	7.1
b0818	4
b0818	6.1
b0820_1	4.3.A.1.a
b0820_1	7.1
b0820_2	4.3.A.1.a
b0820_2	7.1
b0823	1.3.5
b0824	1.3.7
b0824	2.3.3
b0824	3.1.3.3
b0825	1
b0826	1.5.3.4
b0827	1.5.3.4
b0828	1.7.13
b0829_1	4.3.A.1.a
b0829_1	4.S.152
b0829_1	7.1
b0829_2	4.3.A.1.a
b0829_2	4.S.152
b0829_2	7.1
b0830	4.3.A.1.p
b0830	4.S.152
b0830	7.2
b0831	4.9.B
b0831	4.S.152
b0831	6.1
b0831	7.3
b0832	4.3.A.1.m
b0832	4.S.152
b0832	6.1
b0832	7.3
b0839	5.1
b0839	5.6.4
b0839	7.2
b0840	1.7.33
b0840	2.2.2
b0840	3.1.2.3
b0840	3.3.1
b0840	7.1
b0841	6.1
b0842	4.2.A.1
b0842	4.S.126
b0842	5.6.4
b0842	6.1
b0842	7.3
b0845	4.9.B
b0845	6.1
b0846	3.1.4
b0847	4.9.B
b0847	6.1
b0848	6.1
b0849	1.6.15.2
b0851	1.3.7
b0851	1.5.3.9
b0852	2.3.2
b0852	2.3.8
b0852	6.6
b0852	7.1
b0854	1.1.4
b0854	1.7.14
b0854	4.3.A.1.p
b0854	4.S.163
b0854	7.2
b0855	1.1.4
b0855	1.7.14
b0855	4.3.A.1.a
b0855	4.S.163
b0855	7.1
b0856	1.1.4
b0856	1.7.14
b0856	4.3.A.1.m
b0856	4.S.163
b0856	6.1
b0856	7.3
b0857	1.1.4
b0857	1.7.14
b0857	4.3.A.1.m
b0857	4.S.163
b0857	6.1
b0857	7.3
b0858	6.1
b0859	2.2.3
b0859	7.1
b0860	1.5.1.3
b0860	4.3.A.1.p
b0860	4.S.17
b0860	7.2
b0861	1.1.3
b0861	1.5.1.3
b0861	4.3.A.1.m
b0861	4.S.17
b0861	5.6.2
b0861	6.1
b0861	7.3
b0862	1.5.1.3
b0862	4.3.A.1.m
b0862	4.S.17
b0862	6.1
b0862	7.3
b0863	1.5.1.3
b0863	4.3.A.1.p
b0863	4.S.17
b0863	7.2
b0864	1.5.1.3
b0864	4.3.A.1.a
b0864	4.S.17
b0864	6.1
b0864	7.1
b0867	1.1.5
b0870	1.5.1.10
b0870	7.1
b0871	1.3.5
b0871	1.4.1
b0871	1.7.28
b0871	7.1
b0874	6.1
b0875	4.1.A.8
b0875	4.S.188
b0875	5.5.1
b0875	6.1
b0875	7.3
b0878	5.6.4
b0878	6.1
b0878	7.3
b0879_1	4.3.A.1.a
b0879_1	5.6.4
b0879_1	7.1
b0879_2	4.3.A.1.m
b0879_2	5.6.4
b0879_2	6.1
b0879_2	7.3
b0880	2.1.1
b0880	3.1.1
b0880	7.1
b0882	1.2.3
b0882	7.1
b0883	2.2.5
b0883	7.1
b0884	2.3.2
b0884	7.1
b0885	2.3.6
b0885	7.1
b0886_1	4.3.A.1.m
b0886_1	4.S.39
b0886_1	6.1
b0886_1	7.3
b0886_2	4.3.A.1.a
b0886_2	4.S.39
b0886_2	7.1
b0887_1	4.3.A.1.m
b0887_1	4.S.39
b0887_1	6.1
b0887_1	7.3
b0887_2	4.3.A.1.a
b0887_2	4.S.39
b0887_2	7.1
b0888	1.6.15.2
b0888	1.7.1
b0888	7.1
b0889	1.5.1.18
b0889	1.5.1.19
b0889	2.2.2
b0889	2.3.7
b0889	3.1.2.2
b0889	3.1.2.3
b0889	3.3.1
b0889	7.1
b0890	4.9.A.16
b0890	5.1
b0890	5.8
b0890	6.1
b0890	7.3
b0891	2.3.4
b0891	4.9.B
b0891	4.S.106
b0891	7.2
b0893	1.5.1.23
b0893	2.3.1
b0893	7.1
b0894	1.3.7
b0894	1.4.2
b0894	6.1
b0894	7.3
b0895	1.3.7
b0895	1.4.2
b0895	6.1
b0895	7.3
b0896	1.3.7
b0896	1.4.2
b0896	6.1
b0896	7.3
b0897	1.1.3
b0898	4.2.A.1
b0898	6.1
b0898	7.3
b0899	4.2.A.3
b0899	4.S.12
b0899	6.1
b0899	7.3
b0900	2.2.2
b0900	3.1.2.2
b0900	3.1.2.3
b0901	1.4.3
b0902	1.3.7
b0902	2.3.3
b0902	3.1.3.3
b0902	7.1
b0903	1.1.3.7
b0903	1.3.5
b0903	1.3.7
b0903	7.1
b0904	1.1.1
b0904	4.2.A.44
b0904	4.S.59
b0904	6.1
b0904	7.3
b0907	1.5.1.11
b0907	1.5.3.6
b0907	7.1
b0908	1.5.1.20
b0909	5.5.2
b0910	1.7.33.4
b0910	7.1
b0911	2.3.2
b0911	2.3.8
b0911	6.6
b0911	7.1
b0912	2.1.3
b0912	2.3.7
b0912	7.1
b0914_1	1.6.1
b0914_1	1.6.3.3
b0914_1	4.3.A.1.m
b0914_1	4.S.49
b0914_1	6.1
b0914_1	7.3
b0914_2	1.6.1
b0914_2	1.6.3.3
b0914_2	4.3.A.1.a
b0914_2	4.S.49
b0914_2	7.1
b0915	1.6.3.3
b0915	1.6.5
b0915	6.1
b0915	6.2
b0915	6.3
b0915	6.7
b0915	7.3
b0918	1.6.3.3
b0918	1.6.5
b0918	6.1
b0918	6.2
b0918	6.3
b0918	6.7
b0918	7.1
b0921	1.7.6
b0922	5.6.3
b0923	3.1.4
b0923	5.10
b0924_1	5.1
b0924_2	5.1
b0924_3	5.1
b0925	1.2.3
b0928	1.1.3.4
b0928	1.5.1.5
b0928	7.1
b0929	4.1.B.1
b0929	4.S.91
b0929	6.1
b0929	7.4
b0930	2.3.1
b0930	7.1
b0931	1.7.45
b0931	7.2
b0932	1.2.3
b0933	1.8.2
b0933	4.3.A.1.a
b0933	4.S.5
b0933	7.1
b0934	1.8.2
b0934	4.3.A.1.m
b0934	4.S.5
b0934	6.1
b0934	7.2
b0935	1.5.3.9
b0935	1.8.2
b0935	3.1.2.4.3
b0936	1.8.2
b0936	4.3.A.1.p
b0936	4.S.5
b0936	7.2
b0937	1.8.2
b0937	3.1.2.4.3
b0937	5.5.3
b0938	6.5
b0939	2.3.4
b0939	7.2
b0940	6.1
b0940	7.4
b0941	6.5
b0942	6.5
b0943	6.5
b0944	2.3.4
b0944	7.2
b0945	1.5.2.2
b0945	7.1
b0947	1.4.3
b0949_1	4.3.A.1.a
b0949_1	7.1
b0949_2	4.3.A.1.a
b0949_2	7.1
b0950	5.6.2
b0951	5.6.2
b0953	2.3.4
b0953	6.6
b0953	7.1
b0954	1.5.4.1
b0954	1.5.4.2
b0955	2.3.6
b0957	6.1
b0957	7.4
b0958	2.1.4
b0958	3.1.3.3
b0958	5.1
b0958	5.8
b0958	7.2
b0960	4.9.B.4
b0960	6.1
b0962	2.1.1
b0962	7.1
b0963	1.7.23
b0963	7.1
b0970	4.9.B.24
b0970	6.1
b0970	7.1
b0971	2.2.5
b0971	7.1
b0972	1.3.6
b0972	1.3.7
b0972	1.4.1
b0972	7.3
b0973	1.3.6
b0973	1.3.7
b0973	1.4.1
b0973	7.3
b0974	1.3.6
b0974	1.3.7
b0974	1.4.1
b0974	1.6.15.1
b0974	6.1
b0974	7.3
b0975	1.3.6
b0975	1.3.7
b0975	2.3.4
b0976	1.3.6
b0976	1.3.7
b0976	2.3.4
b0977	1.3.6
b0977	1.3.7
b0977	2.3.4
b0978	1.3.6
b0978	1.4.2
b0978	6.1
b0978	7.3
b0979	1.3.6
b0979	1.4.2
b0979	6.1
b0979	7.3
b0980	1.8.1
b0980	5.5.3
b0980	7.2
b0981	2.3.3
b0981	4.8.A.3
b0981	4.S.184
b0981	6.1
b0981	7.3
b0982	2.3.3
b0983	6.1
b0983	7.4
b0987	6.1
b0988	8.3
b0989	5.5.2
b0990	5.5.2
b0991	1.5.4
b0992	3.1.4
b0992	6.1
b0993_1	1.3.7
b0993_1	2.3.3
b0993_1	3.1.2.4.3
b0993_1	3.1.3.2
b0993_1	6.1
b0993_1	7.3
b0993_2	1.3.7
b0993_2	2.3.3
b0993_2	3.1.2.4.3
b0993_2	3.1.3.2
b0993_2	6.1
b0993_2	7.3
b0994	1.3.7
b0994	2.3.3
b0994	3.1.2.4.3
b0994	3.3.1
b0994	7.2
b0995	1.3.7
b0995	2.2.2
b0995	3.1.2.2
b0995	3.1.2.4.3
b0995	3.3.1
b0995	7.1
b0996	1.3.7
b0996	1.4.2
b0996	1.6.15.1
b0996	2.2.2
b0996	3.1.2.3
b0996	3.3.1
b0996	7.2
b0997	1.3.7
b0997	1.4.2
b0997	7.2
b0998	1.3.7
b0998	2.3.4
b0998	7.1
b1000	2.3.4
b1000	2.3.7
b1000	7.1
b1002	1.7.9
b1002	7.2
b1004	1.5.1.15
b1004	3.1.4
b1004	7.1
b1006	4.2.A.40
b1006	4.S.185
b1006	6.1
b1006	7.3
b1007	1.7.33
b1008	1.7.33
b1009	1.7.33
b1010	1.7.33
b1011	1.1.5
b1011	1.7.33
b1012	1.7.33
b1013	1.7.33
b1013	2.2.2
b1013	3.1.2.3
b1013	3.3.1
b1014_1	1.1.3.6
b1014_1	1.4.1
b1014_1	2.2.2
b1014_1	3.1.2.3
b1014_1	7.1
b1014_2	1.1.3.6
b1014_2	1.4.1
b1014_2	2.2.2
b1014_2	7.1
b1015	1.5.1.4
b1015	4.2.A.21
b1015	4.S.139
b1015	6.1
b1015	7.3
b1016	4.S.54
b1017	4.S.54
b1017	6.1
b1018	4.S.54
b1019	4.S.54
b1020	1.8.1
b1020	3.1.2.4.2
b1020	5.5.3
b1020	7.1
b1021	5.12
b1021	6.1
b1022	4.9.B.32
b1022	5.12
b1022	6.1
b1022	7.3
b1023	5.12
b1023	6.1
b1023	7.3
b1024	5.12
b1024	6.1
b1024	7.4
b1025	3.1.4
b1025	6.1
b1026	8.3
b1027	8.3
b1028	1.5.4
b1032	2.2.5
b1032	7.1
b1033	1.7.21
b1033	7.1
b1034	2.1.1
b1036	4
b1036	6.1
b1037	4.9.B
b1037	4.S.37
b1037	6.1
b1037	6.5
b1037	7.4
b1038	4.9.B
b1038	4.S.37
b1038	6.5
b1039	4.9.B
b1039	4.S.37
b1039	6.5
b1040	2.2.2
b1040	3.1.2.2
b1040	5.12
b1041	1.6.11
b1041	6.5
b1041	7.4
b1042	1.6.11
b1042	10
b1042	6.5
b1042	7.4
b1043	6.5
b1047	1.6.6
b1047	5.5.1
b1047	6.1
b1047	7.3
b1048	1.6.6
b1048	5.5.1
b1048	7.2
b1049	5.5.1
b1049	6.1
b1049	7.3
b1051	4.S.160
b1053	4.2.A.1
b1053	4.S.126
b1053	5.6.4
b1053	6.1
b1053	7.3
b1054	1.6.3.3
b1054	6.1
b1054	6.3
b1054	7.3
b1055	5.2
b1057	1.6.15.1
b1057	6.1
b1059	1.7.1
b1061	2.1.4
b1061	5.8
b1061	7.1
b1062	1.5.2.2
b1062	7.1
b1064	1.6.15.2
b1065	4.2.A.1
b1065	4.S.126
b1065	5.6.4
b1065	6.1
b1065	7.3
b1066	2.3.3
b1066	6.6
b1066	7.1
b1068	5.10
b1069	5.10
b1069	6.1
b1070	1.6.12
b1070	2.3.4
b1070	5.3
b1070	6.4
b1071	2.2.2
b1071	3.1.2.1
b1071	5.3
b1071	6.4
b1071	7.1
b1072	1.6.12
b1072	5.3
b1072	6.4
b1072	7.2
b1073	1.6.12
b1073	5.3
b1073	6.4
b1073	7.2
b1074	1.6.12
b1074	5.3
b1074	6.4
b1074	7.2
b1075	1.6.12
b1075	5.3
b1075	6.4
b1076	1.6.12
b1076	5.3
b1076	6.4
b1077	1.6.12
b1077	5.3
b1077	6.4
b1077	7.2
b1078	1.6.12
b1078	5.3
b1078	6.4
b1078	7.2
b1079	1.6.12
b1079	5.3
b1079	6.1
b1079	6.4
b1079	7.4
b1080	1.6.12
b1080	5.3
b1080	6.4
b1081	1.6.12
b1081	5.3
b1081	6.4
b1082	1.6.12
b1082	2.3.4
b1082	5.3
b1082	6.4
b1083	1.6.12
b1083	2.3.4
b1083	5.3
b1083	6.4
b1084_1	1.2.1
b1084_1	2.2.4
b1084_1	7.1
b1084_2	1.2.1
b1084_2	2.2.4
b1084_2	7.1
b1084_3	1.2.1
b1084_3	2.2.4
b1084_3	7.1
b1086	2.2.3
b1086	7.1
b1089	2.3.2
b1089	2.3.8
b1089	6.6
b1089	7.1
b1090	1.6.1
b1091	1.5.4.3
b1091	7.1
b1092	1.5.4.3
b1092	7.1
b1093	1.5.4.1
b1093	1.5.4.2
b1093	7.1
b1094	1.6.15.4
b1095	1.5.4.2
b1095	1.5.4.3
b1095	7.1
b1096	1.5.3.2
b1098	1.7.15
b1099	2.1.1
b1099	7.1
b1101_1	1.1.1
b1101_1	2.3.3
b1101_1	3.1.3.2
b1101_1	4.4.A.1
b1101_1	4.S.71
b1101_1	6.1
b1101_1	7.3
b1101_2	1.1.1
b1101_2	2.3.3
b1101_2	3.1.3.2
b1101_2	4.4.A.1
b1101_2	4.S.71
b1101_2	6.1
b1101_2	7.3
b1102	1.7.19
b1102	4.1.B.14
b1102	4.S.53
b1102	5.5.7
b1102	6.1
b1102	7.4
b1103	2.3
b1106	1.5.3.8
b1107	1.7.34
b1109	1.3.6
b1109	1.3.7
b1109	1.4.1
b1109	4.3.D.1
b1109	4.S.82
b1109	7.1
b1110	6.1
b1110	7.4
b1111	3.1.2
b1114	2.2.2
b1114	7.1
b1115	4
b1115	6.1
b1116	4.3.A.1.m
b1116	4.S.106
b1116	6.1
b1116	7.3
b1117	4.3.A.1.a
b1117	4.S.106
b1117	7.1
b1118	4.3.A.1.m
b1118	4.S.106
b1118	6.1
b1118	7.3
b1119	1.7.12
b1119	3.1.2
b1120	1.5.3.13
b1120	6.1
b1121	3.1.2
b1123	1.1.4
b1123	1.7.14
b1123	4.3.A.1.p
b1123	4.S.166
b1123	7.2
b1124	1.1.4
b1124	1.7.14
b1124	4.3.A.1.m
b1124	4.S.166
b1124	6.1
b1124	7.3
b1125	1.1.4
b1125	1.7.14
b1125	4.3.A.1.m
b1125	4.S.166
b1125	6.1
b1125	7.3
b1126	1.1.4
b1126	1.7.14
b1126	4.3.A.1.a
b1126	4.S.166
b1126	7.1
b1127	1.2.3
b1129	2.3.3
b1129	3.1.2.4.3
b1129	3.1.3.2
b1129	6.1
b1129	7.3
b1130	2.2.2
b1130	3.1.2.2
b1130	3.1.2.4.3
b1130	3.3.1
b1130	7.1
b1131	1.5.2.1
b1131	7.1
b1132	6.1
b1132	7.3
b1133	2.2.3
b1133	7.1
b1135	2.2.3
b1136	1.3.4
b1136	1.3.7
b1137	8.1
b1138	6.1
b1138	8.1
b1139	8.1
b1140	8.1
b1141	8.1
b1142	8.1
b1143	8.1
b1144	8.1
b1145	8.1
b1146	8.1
b1147	8.1
b1148	8.1
b1149	8.1
b1150	8.1
b1151	8.1
b1152	8.1
b1153	8.1
b1154	8.1
b1155	8.1
b1156	8.1
b1157	8.1
b1158	8.1
b1159	2.1.2
b1159	8.1
b1161	8.1
b1162	2.2.2
b1162	3.1.2.3
b1174	5.1
b1174	7.1
b1175	5.1
b1175	6.1
b1175	7.3
b1176	5.1
b1176	7.1
b1182	5.6.3
b1182	7.5
b1183	2.1.1
b1183	2.1.4
b1183	2.2.2
b1183	5.8
b1183	7.1
b1184	2.1.1
b1184	2.1.4
b1184	5.8
b1184	7.1
b1185	1.6.12
b1185	2.3.4
b1185	5.3
b1185	6.1
b1185	6.4
b1185	6.5
b1185	7.3
b1186	4.2.A.34
b1186	4.S.136
b1186	5.5.4
b1186	6.1
b1186	7.3
b1187	1.1.2
b1187	2.2.2
b1187	3.1.2.2
b1187	3.1.2.3
b1187	3.3.1
b1187	3.3.2
b1187	7.1
b1189	1.1.3.1
b1190	1.1.3.1
b1190	1.5.1.17
b1191	4.2.A.36
b1191	4.S.136
b1191	5.5.1
b1191	6.1
b1191	7.3
b1192	1.7.34
b1192	6.2
b1192	7.1
b1193	1.6.7
b1193	6.1
b1193	6.2
b1193	7.3
b1194	3.1.2
b1197	1.1.1.27
b1197	1.7.9
b1197	5.5.1
b1197	7.2
b1198_1	3.1.3.3
b1198_1	4.8.A.7
b1198_1	4.S.173
b1198_2	3.1.3.3
b1198_2	4.8.A.7
b1198_2	4.S.173
b1199	1.7.1
b1200	1.7.1
b1201	2.2.2
b1201	3.1.2.2
b1202	7.4
b1204	2.3.1
b1204	7.1
b1206	4.2.A.53
b1206	6.1
b1206	7.3
b1207	1.7.41
b1208	1.5.3.19
b1208	7.1
b1209	6.1
b1209	7.4
b1210	1.5.3.12
b1210	5.6.4
b1210	7.1
b1211	2.3.2
b1211	7.1
b1212	2.3.2
b1212	2.3.3
b1212	3.1.3.2
b1213	3.1.2
b1213	6.1
b1214	3.1.2
b1215	1.6.3.3
b1215	1.6.5
b1215	6.1
b1215	6.2
b1215	6.3
b1215	6.7
b1215	7.1
b1216	4.2.A.19
b1216	4.S.25
b1216	6.1
b1216	7.3
b1217	2.2.2
b1217	3.1.2.5
b1217	7.1
b1218	2.2.2
b1218	3.1.2.5
b1218	7.1
b1221	1.3.7
b1221	2.2.2
b1221	3.1.2.2
b1221	3.1.2.3
b1221	3.1.2.4.3
b1221	3.3.1
b1221	7.1
b1222	1.3.7
b1222	2.3.3
b1222	3.1.2.4.3
b1222	3.1.3.2
b1222	6.1
b1222	7.3
b1223	1.8.3
b1223	4.2.A.1
b1223	4.S.145
b1223	6.1
b1223	7.3
b1224	1.3.7
b1224	1.4.2
b1224	6.1
b1224	7.3
b1225	1.3.7
b1225	1.4.2
b1225	6.1
b1225	7.3
b1226	1.3.7
b1226	2.3.4
b1227	1.3.7
b1227	1.4.2
b1227	1.6.15.1
b1227	6.1
b1227	7.3
b1229	2.3.7
b1229	7.1
b1230	2.2.5
b1230	7.1
b1231	2.2.5
b1231	7.1
b1232	1.5.2.3
b1232	1.7.17
b1232	7.1
b1234	6.1
b1235	1.2.3
b1235	2.2.2
b1235	3.1.2.4.3
b1235	7.1
b1236	1.1.1.23
b1236	1.6.2
b1236	1.7.7
b1236	1.7.9
b1236	5.5.5
b1236	6.7
b1237	2.2.2
b1237	2.3.7
b1237	3.1.2
b1237	5.3
b1237	6.4
b1237	7.1
b1238	1.7.33.3
b1239	8.3
b1241_1	1.1.5.2
b1241_1	1.3.5
b1241_1	5.5.6
b1241_2	1.1.5.2
b1241_2	1.3.5
b1241_2	5.5.6
b1242	6.1
b1243	1.7.34
b1243	2.3.4
b1243	4.3.A.1.p
b1243	4.S.148
b1243	6.2
b1243	7.2
b1244	1.7.34
b1244	4.3.A.1.m
b1244	4.S.148
b1244	6.1
b1244	6.2
b1244	7.3
b1245	1.7.34
b1245	4.3.A.1.m
b1245	4.S.148
b1245	6.1
b1245	6.2
b1245	7.3
b1246	1.7.34
b1246	4.3.A.1.a
b1246	4.S.148
b1246	6.2
b1246	7.1
b1247	1.7.34
b1247	4.3.A.1.a
b1247	4.S.148
b1247	6.2
b1247	7.1
b1249	1.6.1.2
b1249	5.6.4
b1249	6.1
b1249	7.3
b1250	4.1.A.1
b1250	4.S.96
b1250	6.1
b1250	7.3
b1252	6.1
b1252	7.3
b1252	8.1
b1254	5.1
b1254	6.1
b1255	6.1
b1256	4.1.B
b1256	4.S.35
b1256	6.1
b1256	7.4
b1260	1.5.1.15
b1260	7.1
b1261	1.5.1.15
b1261	7.1
b1262_1	1.5.1.15
b1262_1	7.1
b1262_2	1.5.1.15
b1262_2	7.1
b1263_1	1.5.1.15
b1263_1	7.1
b1263_2	1.5.1.15
b1263_2	7.1
b1264	1.5.1.15
b1265	1.5.1.15
b1265	7.1
b1269	2.2.3
b1270	1.5.3.13
b1270	7.1
b1272	1.2.3
b1274	2.1.1
b1274	2.2.2
b1274	3.1.1.1
b1274	7.1
b1275	1.5.1.12
b1275	1.8.2
b1275	2.2.2
b1275	3.1.2.2
b1275	3.1.2.3
b1275	3.3.2
b1275	7.1
b1276	1.3.4
b1276	1.3.7
b1276	1.7.2
b1276	5.5.6
b1277	1.5.3.9
b1278	1.6.1.2
b1278	6.1
b1278	7.3
b1281	1.5.2.2
b1283	5.5.1
b1284	2.2.2
b1284	3.1.2.3
b1285	3.1.4
b1286	1.2.1
b1286	2.2.4
b1288	1.5.4.1
b1288	1.5.4.2
b1288	7.1
b1290	1.1.3
b1290	4.3.A.1.a
b1290	4.S.152
b1290	7.1
b1291	1.1.3
b1291	4.3.A.1.a
b1291	4.S.152
b1291	7.1
b1292	4.3.A.1.m
b1292	4.S.152
b1292	6.1
b1292	7.3
b1293	4.3.A.1.m
b1293	4.S.152
b1293	6.1
b1293	7.3
b1294	1.1.3
b1294	4.3.A.1.p
b1294	4.S.152
b1294	7.2
b1296	4.2.A.3
b1296	6.1
b1296	7.3
b1297	1.5.1.2
b1297	1.7.32.2
b1297	1.8.3
b1298	1.1.4
